,English,Hindi
5066,tirthankar,तीर्थंकर
5067,bahawalpur uttamchand,बहावलपुर उत्तमचंद
5068,sympathize,सहानुभूति रखते हे
5069,depositors undergoing,जमाकर्ताओं के दौर से गुजर
5070,ejaculated rethinking responders,वीर्यपात हो गया पुनर्विचार प्रतिसाददाताओं
5071,nightclubs unintended,नाइट क्लबों अनायास
5072,trumpeters lehertaara expiration,तुरही लहरतारा समय सीमा समाप्ति
5073,optionless,विकल्पहीन
5074,subjugated construted prosecuted,वशीभूत निर्मित मुकदमा चलाया
5075,inequality predispose,असमानता संभावना अधिक होती है
5076,memorising,याद रखना
5077,supplement,परिशिष्ट
5078,translitor,अनुवादक
5079,accustomed,आदी
5080,regenerate,पुनः जेनरेट
5081,readership,पाठक
5082,reinforced,प्रबलित
5083,antagonize,विरोध करना
5084,hornblende,हानब्लैन्ड
5085,peremptory ramshackle producedat,आज्ञसूचक जीर्ण उत्पादित
5086,prosperous autocratic sambaavana,समृद्ध निरंकुश सांबावना
5087,depression,अवसाद
5088,entorhinal,एंटोरहिनल
5089,turbulence,अशांति
5090,devanagary,देवनागरी
5091,parswanath,पार्श्वनाथ
5092,sunscreens polychords subhashini,सनस्क्रीन पॉलीकोर्ड्स सुभाषिनी
5093,imperialis dismantles,साम्राज्यवादी विघटित करता है
5094,chocolates,चॉकलेट
5095,yashbharat,यशभारत
5096,mountbaton,माउंटबेटन
5097,salihundam trafficked,सलिहुंडम तस्करी
5098,lokandwala kurmapuran,लोकंडवाला कूर्मपुराण
5099,premchendr,प्रेमचंदर
5100,dismissals,शिकार
5101,sovietland,सोवियतलैंड
5102,jeopardise turnaround,ख़तरे में डालना मुड़ो
5103,panacganga,पनाकांगा
5104,alphabetic,वर्णानुक्रमक
5105,witnessers remoteness dissidents,गवाह पृथकता असंतुष्टों
5106,politician,राजनीतिक
5107,casualties conclusive,हताहतों की संख्या निर्णयात्मक
5108,videograph,वीडियोग्राफी
5109,krishnadas struggling executions,कृष्णदास संघर्षरत फांसी
5110,kiolmeters,किओलमीटर
5111,disclosing,का खुलासा
5112,missionthe,मिशनद
5113,inwardness,अंदर की ओर
5114,goebbelian stampeding,गोएबेलियन मुद्रांकन
5115,sankalpita chargeable,संकल्पिता प्रभार्य
5116,taivernier,टैवर्नियर
5117,labourites,मजदूर
5118,underworld bitterness,अंडरवर्ल्ड अप्रसन्नता
5119,heartbreak,बड़ा शोक
5120,developing simplicity aisrleshon,विकासशील सादगी ऐसर्लेशोन
5121,resolution explicitly,संकल्प स्पष्ट रूप से
5122,chinnammai,चिन्नम्मई
5123,chitrangad perishable,चित्रांगद नष्ट होनेवाला
5124,highlights chandraman prediction,पर प्रकाश डाला गया चंद्रमन भविष्यवाणी
5125,astadhyayi,अष्टाध्यायी
5126,unpoisoned exhibition,विषरहित प्रदर्शनी
5127,grammarian proprietor,वैयाकरण मालिक
5128,indistinct,अस्पष्ट
5129,lifespring,जीवनवसंत
5130,bankrolled hovercraft addictions,बैंकरोल किया हुआ हुवरक्रफ़्ट व्यसनों
5131,innumeracy,असंख्यता
5132,stragglers seductions chandrauli,घुमक्कड़ प्रलोभन चंदरौली
5133,laughingly,हँसकर
5134,sitarmayya,सीतार्मय्या
5135,christians,ईसाइयों
5136,yajnavalka,याज्ञवल्क
5137,snobberies,दंभ
5138,suppresses antedating,दबा पूर्ववर्ती
5139,decendence touchstone,शालीनता कसौटी
5140,vrundavaan includiing,वृन्दावन सहित
5141,tomentosus economists,टोमेंटोसस अर्थशास्त्रियों
5142,membership,सदस्यता
5143,antithesis,विलोम
5144,saribefore covienient,साड़ीपहले सहसंयोजक
5145,visvesvara membranous,विश्वेश्वर झिल्लीदार
5146,rearmament,फिर से हथियारबंद होना
5147,arthvaveda chitaldrug sitarmayya,अर्थववेद चीतलड्रग सीतार्मय्या
5148,opposition invectives,विरोध अपशब्द
5149,insurgency nirandhara emissaries,विद्रोह निरंधरा दूतों
5150,reconciled refineries,मेल मिलाप रिफाइनरियों
5151,khandelwal,खंडेलवाल
5152,clasthaved bookkeeper,क्लैस्टवेड बहीखाता लिखनेवाला
5153,haptanesia,हैपटनेसिया
5154,dhanurveda,धनुर्वेद
5155,obligatory submitting,अनिवार्य प्रस्तुत करने
5156,pedagogies assistants sanyavasta,शिक्षण सहायकों संयवस्था
5157,perilously treriching anesthetic,खतरनाक ट्रेरिचिंग चतनाशून्य करनेवाली औषधि
5158,brajbhasha hypocrites,ब्रजभाषा कपटी
5159,telegraphy,टेलीग्राफी
5160,dashboards determined,डैशबोर्ड दृढ़ निश्चय वाला
5161,compromise compliment,समझौता प्रशंसा
5162,naturalist,प्रकृतिवादी
5163,definition submission,परिभाषा जमा करना
5164,condescend,स्वीकर
5165,discussing,चर्चा
5166,kulottunga,कुलोत्तुंगा
5167,bookmarked,बुकमार्क
5168,personally,व्यक्तिगत रूप से
5169,validating,मान्य
5170,weeknights,सप्ताहांत
5171,shrivastav versailles,श्रीवास्तव वर्साय
5172,patronised randomness metabolise,को संरक्षण अनियमितता चयापचय
5173,udgatrgana extensions,उद्गात्रगण एक्सटेंशन
5174,externment performers,निर्वासन कलाकार
5175,implacable aparichita irradiance,संगदिल अपरिचिता विकिरण
5176,sultanganj stagnation renewables,सुल्तानगंज स्थिरता नवीकरणीय ऊर्जा
5177,mastectomy swarajists,स्तन स्वराजवादियों
5178,aurangabad,औरंगाबाद
5179,arithmetic chitaldrug,अंकगणित चीतलड्रग
5180,provisions,प्रावधानों
5181,ultimatums,अल्टिमेटम
5182,treriching,ट्रेरिचिंग
5183,devanagari overridden,देवनागरी ओवरराइड
5184,demarcated,सीमांकन
5185,peacefully,शांतिपूर्वक
5186,iridescent,इंद्रधनुषी
5187,footballer pronounces criticized,फुटबॉलर उच्चारण करता आलोचना की
5188,kallamatha harischand,कल्लामाथा हरिश्चंद्र
5189,nripatunga,नृपतुंगा
5190,humanizing radiolinga,मानवीय रेडियोलिंगा
5191,craftiness unofficial architrave,शठता अनौपचारिक प्रस्तरपाद
5192,refinement,परिशोधन
5193,consideres scrupulous plasticity,मानता है ईमानदार प्लास्टिसिटी
5194,whiteflies,सफ़ेद मक्खियाँ
5195,preventive,निवारक
5196,propelling,फेंकने योग्य
5197,petitioner derogatory,याचिकाकर्ता अपमानजनक
5198,analytical ravalapudi legitimacy,विश्लेषणात्मक रावलपुडी वैधता
5199,subjugated telegraphy unsanitary,वशीभूत टेलीग्राफी मैला
5200,chaandogya,चंदोग्य
5201,affinities gentleness,समानताएं नम्रता
5202,ungrateful enlistment premchanda,अहसान फरामोश भर्ती प्रेमचंदा
5203,mrullalini,मृल्लालिनी
5204,eliminated exactitude,सफाया शुद्धता
5205,parnassius,पारनासियस
5206,trivandrum,तिरुवनंतपुरम
5207,emboldened,उत्साहित
5208,repackaged,दोबारा पैक किया गया
5209,inumerable,अनगिनत
5210,concoction,मिश्रण
5211,asceticism,वैराग्य
5212,faithfully curriculum infinitely,निष्ठापूर्वक पाठ्यक्रम असीम
5213,travancore,त्रावणकोर
5214,accentuate appendices,दबाव का चिह्न परिशिष्ट
5215,renaisance,पुनर्जागरण
5216,roderichka deserveswe,रॉडेरिचका हम योग्य हैं
5217,represents,का प्रतिनिधित्व करता है
5218,sudarshana,सुदर्शन
5219,orthoptera noyantaran literateur,ऋजुपक्ष कीटवर्ग नोयन्तरन साहित्यकार
5220,whereunder,जिसके तहत
5221,audiobooks connection threechand,ऑडियो पुस्तकें कनेक्शन तीनचंद
5222,federation,फेडरेशन
5223,sudheendra conjuction,सुधीन्द्र संयोजन के रूप
5224,authorsand,लेखकऔर
5225,mohammedan,मुसलमान
5226,chitragtha diplomatic nicobarese,चित्रागथा कूटनीतिक निकोबारी
5227,imprisoned,बन्दी
5228,hemamalini,हेमा मालिनी
5229,britishers,अंग्रेजों
5230,noticeable,ध्यान देने योग्य
5231,cybercrime descendant reconciled,साइबर क्राइम वंशज मेल मिलाप
5232,geothermal,जियोथर्मल
5233,fireplaces rajputhans culturable,चिमनियों राजपूतान कृष्य
5234,wellington bipartisan neccessity,वेलिंग्टन द्विदलीय ज़रूरत
5235,solitarily hasitnapur,अकेले में हसितनापुर
5236,unexciting initiators,उत्साहहीन आरंभकर्ताओं
5237,dependable haptanasia,भरोसे का हप्तानेशिया
5238,inadequate,अपर्याप्त
5239,persuasive,प्रेरक
5240,activising inactivity,सक्रिय करना निष्क्रियता
5241,prophecies,भविष्यवाणी
5242,janamejaya,जनमेजय
5243,repudiated,को अस्वीकार नहीं किया
5244,normalised,सामान्यीकृत
5245,playwright,नाटककार
5246,crocodiles decendants,मगरमच्छ वंशज
5247,conjuction,संयोजन के रूप
5248,budhaanpur,बुढ़ानपुर
5249,epitomises contingent,प्रतीक आकस्मिक
5250,insurgency,विद्रोह
5251,heroically wholegrain,वीरतापूर्वक साबुत अनाज
5252,canterbury discipline,कैंटरबरी अनुशासन
5253,chatripati,छत्रपति
5254,auctioning seelamgarh supplement,नीलामी सीलमगढ़ परिशिष्ट
5255,lieutenant principals,लेफ्टिनेंट प्रधानाध्यापकों
5256,shahenshah expediency,शहंशाह मुनाफ़ा
5257,mysterious relatively redivision,रहस्यमय अपेक्षाकृत पुनर्विभाजन
5258,ruthlessly,बेरहमी
5259,pranchanda,प्राणचंदा
5260,authorises,अधिकृत करता है
5261,yudhishtir roadrunner,युधिष्ठिर रोडरनर
5262,multiplies,गुणा
5263,alignments,संरेखण
5264,kachesvara undulating,कचेश्वर लहरदार
5265,containers,कंटेनरों
5266,workforces,कार्यबल
5267,desolating provibited,उजड़ने प्रदान किया गया
5268,twittering precocious,चहचहाना असामयिक
5269,tarnishing,खराब
5270,bramhasutr,ब्रम्हसूत्र
5271,bricklayer,ईंट बिछाने
5272,innumeracy perception,असंख्यता धारणा
5273,schoolyard,स्कूल के एक
5274,kamrachand,कमरचंद
5275,decendence,शालीनता
5276,acccording deductions kannadasan,तदनुसार कटौती कन्नड़ासन
5277,kachesvara,कचेश्वर
5278,condoleeza rusticated,कोंडोलीज़ा निष्कासित
5279,outpatient,आउट पेशेंट
5280,floundered,असफल रहे
5281,ramchander,रामचंदर
5282,husbandmen,किसानों ने
5283,households,घरों
5284,onslaughts tearjerker properties,हमले अश्रुपूरित गुण
5285,flowerbugs frightened,फूल के कीड़े डरा हुआ
5286,unattached portuguesa,स्वाधीन पुर्तगाली
5287,suddodhana balkeshvar,सुद्दोधन बल्केश्वर
5288,villagethe subtracted,गाँव घटाया
5289,despatches liberation,डिस्पैच मुक्ति
5290,planktonic,प्लवक
5291,semicircle pendentive outwitting,आधा गोला पेंडेंटिव मात देना
5292,brahmaachy mismatches,ब्रह्मचर्य बेमेल
5293,encumbered,भारग्रस्त
5294,goesduring engineered chalukyaas,दौरान जाता है इंजीनियर चालुक्य
5295,opposition hornblende,विरोध हानब्लैन्ड
5296,squandered,गंवा
5297,unerringly resembling,त्रुटिहीन रूप से मिलते-जुलते
5298,phillipins worshipped stochastic,फिलीपींस पूजा स्टोकेस्टिक
5299,harivayasi,हरिव्यासि
5300,karunguzhi,करुंगुझी
5301,antisocial,सामाजिक सिद्धान्तों के विस्र्द्ध
5302,elachander,एलाचंदर
5303,kishangarh,किशनगढ़
5304,receptions,स्वागत
5305,antiseptic,एंटीसेप्टिक
5306,innumeracy determined,असंख्यता दृढ़ निश्चय वाला
5307,fermenting,किण्वन
5308,changeless,निरंतर
5309,millimeter,मिलीमीटर
5310,downgrades,डाउनग्रेड
5311,prithviraj,पृथ्वीराज
5312,inhabitant,निवासी
5313,recurrence terrorised,पुनरावृत्ति आतंकित
5314,shockingly,आश्चर्यजनक
5315,pushtimarg,पुष्टिमार्ग
5316,accessible adaptation profitable,पहुंच योग्य अनुकूलन लाभदायक
5317,hutchinson dasavatara,हचिंसन दशावतार
5318,cavernoasa,कैवर्नोसा
5319,clasthaved landlocked hollowness,क्लैस्टवेड घिरा खोखलेपन
5320,employment,रोज़गार
5321,summarized,संक्षेप
5322,embodiment,अवतार
5323,unleavened,अखमीरी
5324,suboptimal,इनकी
5325,antiquated ibnarsubad,प्राचीन इब्नर्सुबाद
5326,eighteenth procedural,अठारहवाँ ि यात्मक
5327,seminaries,मदरसों
5328,instituted,संस्थापित
5329,instalment moralistic,किस्त नैतिक
5330,secularism sweltering garikapadu,धर्मनिरपेक्षता तपती गरिकापाडु
5331,terrorisim shivakumar,आतंकवादी शिवकुमार
5332,nonchalant,बेपरवाह
5333,antoinette gratifying,एंटोनेट संतोषजनक
5334,muaviyarji ballimaran unfriendly,मुआवियारजी बल्लीमारान अमित्र
5335,recounting,पुनर्गणना
5336,synonymous repugnancy,पर्याय उस विरोध
5337,subversive,विनाशक
5338,directions,दिशा-निर्देश
5339,underbites,अंडरबाइट
5340,musarabbas,मुसरब्बा
5341,kiolmeters natyasalas,किओलमीटर नाट्यशालाएँ
5342,varahmihir muktabodha,वराहमिहिर मुक्तबोध
5343,vidyaranya,विद्यारण्य
5344,kalabajrai douliganga,कालाबजराई डौलीगंगा
5345,sufferings filtrating derogatory,कष्टों छानना अपमानजनक
5346,agronomist,कृषि विज्ञानी
5347,chimpanzee impressing undercover,चिंपांज़ी पटाने आड़ में
5348,outrunning,आगे निकल जाना
5349,classifies,वर्गीकरण
5350,barbecuing,बारबेक्यू करना
5351,sapaldaksh madagaskar instituted,सपलदक्ष मेडागास्कर संस्थापित
5352,remodelled regigtered,पुन: बनाया पंजीकृत
5353,brahnwnism fellowship interestin,ब्राह्मणवाद संगति दिलचस्पी है
5354,percentage,को PERCENTAGE
5355,inhalation unrecorded,साँस लेना अप्रत्यक्ष
5356,classified curtailing,वर्गीकृत कटौती
5357,regularise astonishes,नियम के अनुसार करना हैरान
5358,reputation blackberry,प्रतिष्ठा ब्लैकबेरी
5359,deprecated equestrian,पदावनत घुड़सवार
5360,presidency postulates,प्रेसीडेंसी अभिधारणाएं
5361,janhulbdin,जान्हुलब्दीन
5362,clearwater dinnertime,साफ़ पानी रात्रिभोज का समय
5363,volleyball destructed,वालीबाल विलुप्त
5364,sikhandhar somaskanda,सिकन्दर सोमस्कन्द
5365,manifested,प्रकट
5366,apartments,अपार्टमेंट
5367,preyogarat,प्रीयोगारत
5368,floodgates,जलद्वार
5369,childbirth ineligible,प्रसव अनुचित
5370,muawiyarji,मुआवियारजी
5371,assemblage dishonesty renditions,संयोजन बेईमानी प्रस्तुतियाँ
5372,parmeshwar postulated obstructed,परमेश्वर माने बाधित
5373,englishman chandigarh,अंग्रेज़ चंडीगढ़
5374,babysitter,दाई
5375,supporters,समर्थकों
5376,beliaghata,बेलियाघाटा
5377,nudeotides corporates,न्यूडोटाइड्स कॉर्पोरेट्स
5378,faithfully,निष्ठापूर्वक
5379,pollinated,परागण
5380,charioteer,सारथी
5381,deilephila programmes,डेइलेफिला PROGRAM'S
5382,cytologist compelling,कोशिका विज्ञानी सम्मोहक
5383,punishment,दंड
5384,vocabulary propagator,शब्दावली प्रचारक
5385,culminated,समापन हुआ
5386,partapgarh,प्रतापगढ़
5387,recurrence instrinsic,पुनरावृत्ति स्वाभाविक
5388,periplanea,पेरिप्लेनिया
5389,dravidians,द्रविड़
5390,kavitaolly,कविताओली
5391,uttranchal grapefruit,उत्तरांचल अंगूर
5392,bhimbetaka conflicted,भीमबेटका विरोध हुआ
5393,navigation gangaganag,मार्गदर्शन गंगानाग
5394,impediment foodstuffs challenged,बाधा खाने की चीज़ें चुनौतीः
5395,gentleness discourage openoffice,नम्रता हतोत्साहित करना खुला दफ्तर
5396,peroxyacyl yajurvedha,पेरोक्सीएसिल यजुर्वेद
5397,unenviable instrinsic,अवांछनीय स्वाभाविक
5398,allegation,आरोप
5399,communique,शासकीय सूचना
5400,nymphalids precarious pronounced,निम्फालिड्स अनिश्चित उच्चारित
5401,commenting,टिप्पणी
5402,sauerkraut mayabunder,खट्टी गोभी मायाबंदर
5403,subashbabu swantantra toothbrush,सुभाषबाबू स्वतंत्र टूथब्रश
5404,reorganize,पुनर्निर्माण करना
5405,deforested intactness,कटाई अक्षुण्णता
5406,discarding,छोड़ना
5407,boisterous neurologic skateboard,उद्दाम तंत्रिका संबंधी स्केटबोर्ड
5408,litigation,मुकदमेबाजी
5409,metabolise dantidurga,चयापचय डेनटिदुर्गा
5410,monotheism muwiyarjji,अद्वैतवाद मुवियारजी
5411,particular siddhartha conspiring,विशिष्ट सिद्धार्थ साजिश रचने
5412,bestseller,सर्वश्रेष्ठ विक्रेता
5413,proclaimed,की घोषणा की
5414,discharged,छुट्टी दे दी गई
5415,nineteenth,उन्नीसवां
5416,aggregater electrodes,एग्रीगेटर इलेक्ट्रोड
5417,situations sathyavati,स्थितियों सत्यवती
5418,unobserved,अप्रत्यक्ष
5419,programmes,PROGRAM'S
5420,despatches garikapadu,डिस्पैच गरिकापाडु
5421,reassessed,पुनर्मूल्यांकन
5422,defination mansarover upanishads,परिभाषा मानसरोवर उपनिषदों
5423,revanchist,विद्रोही
5424,emphasises coalescent,बल देता है सहसंयोजक
5425,distorting,विकृत
5426,confirming,इस बात की पुष्टि
5427,positional,अवस्था का
5428,surprising thickening,आश्चर्य की बात है और अधिक मोटा होना
5429,wrongdoing,अधर्म
5430,cnstructed,निर्मित
5431,replicated,दोहराया
5432,designated,नामित
5433,liberative intimidate,उदारवादी धमकाना
5434,modernists,आधुनिकतावादियों
5435,deepfrying,डीप फ्राई करना
5436,submissive,विनम्र
5437,unplugging,अनप्लग
5438,forefinger uprighting,तर्जनी अंगुली सीधा करना
5439,worshipers,भक्तों
5440,lubricants,स्नेहक
5441,explaining,की व्याख्या
5442,kharidenge,खरीदेंगे
5443,kumbhakarn,कुम्भकर्ण
5444,lietrature,साहित्य
5445,appetisers,क्षुधावर्धक
5446,mouthpiece inspectors,मुखपत्र निरीक्षकों
5447,footballer discerning desolating,फुटबॉलर विवेकी उजड़ने
5448,simplified decorateds,सरलीकृत सजाया हुआ
5449,cumbersome sanatorium,बोझिल सेहतगाह
5450,acceptable,स्वीकार्य
5451,nandigrama marvellous appendages,नंदीग्राम अद्भुत उपांग
5452,kalmoongil analysinng suspensery,कलमून्गिल विश्लेषण सस्पेंसरी
5453,distrusted horrifying,संदेहास्पद भयानक
5454,interphone activities palimpsest,फौण गतिविधियाँ पलिम्प्सेस्ट
5455,saraswathi downloaded meltwaters,सरस्वती डाउनलोड पिघला हुआ पानी
5456,surgically puritanism,शल्य चिकित्सा नैतिकतावाद
5457,denouncing,निंदा
5458,currencies,मुद्राओं
5459,kriyasheel societyall,क्रियाशील समाज
5460,jubbulpore deserveswe,जुब्बलपोर हम योग्य हैं
5461,disfigured,विकृत
5462,wealthiest patakshara drishtidum,सबसे धनी पटाक्षरा दृष्टिदम
5463,reorganize choodamani distension,पुनर्निर्माण करना चूड़ामणि बढ़ाव
5464,improbable terrorised maashelkar,असंभव आतंकित माशेलकर
5465,fairground,मेला स्थल
5466,publicised houseflyhe softspoken,प्रचारित घरेलू मक्खी मधु भाषी
5467,abandoning,को छोड़
5468,breathable inpossible advertiser,सांस असंभव विज्ञापनदाता
5469,membranous,झिल्लीदार
5470,udhishthir richardson,युधिष्ठिर रिचर्डसन
5471,farmhouses,फार्महाउसों
5472,ideologues reconciled,विचारक मेल मिलाप
5473,subhasbabu bhagatsing,सुभाषबाबू भगतसिंग
5474,padhabadha,पढाबाधा
5475,possession prefrontal,कब्ज़ा प्रीफ्रंटल
5476,maashelkar,माशेलकर
5477,conforming mechanized,अनुरूप यंत्रीकृत
5478,frustrated,निराश
5479,mahakumbha,महाकुंभ
5480,brigadiers,ब्रिगेडियर
5481,possessing collection homecoming,जिनके पास संग्रह घर वापसी
5482,underworld,अंडरवर्ल्ड
5483,innovation,नवाचार
5484,chargeable,प्रभार्य
5485,introduced promptness windshield,पुर: मुस्तैदी विंडशील्ड
5486,sampradaya,सम्प्रदाय
5487,tailsatian prehapraha,टेलसैटियन प्राहाप्रहा
5488,proverbial,लौकिक
5489,mayurakshi,मयूराक्षी
5490,terminates,समाप्त
5491,meticulous,सूक्ष्म
5492,alkalinity,क्षारीयता
5493,jogeshvari,जोगेश्वरी
5494,mercantile newzealand,व्यापारिक न्यूज़ीलैंड
5495,greenhouse,ग्रीन हाउस
5496,impleading recaptured,पक्षकार बनाना पुनः कब्जा
5497,safeguards,रक्षोपाय
5498,ontologias redactions,ओन्टोलॉजीस सुधार
5499,bottomdoes,बॉटमडोज़
5500,sweetmeats linguistic,मिठाइयां भाषाई
5501,superwomen prefrontal,सुपरवुमन प्रीफ्रंटल
5502,inoculated pleasantly,टीका सुख से
5503,ineligible courtyards summarises,अनुचित आंगनों को सारांशित
5504,shamsuddin broadcasts,शम्सुद्दीन प्रसारण
5505,terracotta,टेरकोटा
5506,copyrights muktadhara dependency,कॉपीराइट मुक्तधारा निर्भरता
5507,checkmated,शह पाकर मात
5508,powerplant,बिजली संयंत्र
5509,nalambalam cranksthey,नालम्बलम क्रैंकवे
5510,senegalese,सेनेगली
5511,underlying,आधारभूत
5512,smartphone,स्मार्टफोन
5513,lampyridae,लैम्पिरिडे
5514,muktabodha,मुक्तबोध
5515,fabulously,शानदार ढंग से
5516,rainforest,वर्षा वन
5517,interludes rishyamukh kabirpanti,अंतराल ऋष्यमुख कबीरपंती
5518,logistical rheumatold,साजो रूमेटोल्ड
5519,switchover mahashakti constricts,पर स्विच महाशक्ति संकुचित करता है
5520,cashiering,कैशियरिंग
5521,sanghafter convention,संघाफ़्टर सम्मेलन
5522,tombstones,समाधि के पत्थर
5523,fullfilled,पूरा
5524,instigated,उकसाया
5525,anandapala,अनांडपाला
5526,remarkably rhetorical,ध्यान से देखने से शब्दाडंबरपूर्ण
5527,geriatrics,जराचिकित्सा
5528,gurumurthy stealthily splittists,गुरुमूर्ति छिपकर विभाजनवादी
5529,defaulters companians thereafter,बकाएदारों साथियों फिर
5530,aksharmugh,अक्षरमुघ
5531,dadamashai contracted recognized,दादामशाय संकुचित मान्यता प्राप्त
5532,reservoirs electronic yeruselium,जलाशयों इलेक्ट्रॉनिक येरुसेलियम
5533,corrugated,नालीदार
5534,feathering,तीर के सिरेपर पर लगाना
5535,mussulmans positional mumtajgunj,मुसलमान अवस्था का मुमताजगंज
5536,expandable impossible stregnthed,विस्तार असंभव सशक्त
5537,activators bhrattalam,सक्रियकर्ता भ्रात्तलम
5538,ahoshonoan,अहोशोनोअन
5539,bandergaha,बंदरगाहा
5540,inoculates resurgence abundantly,टीका लगाता है पुनरुत्थान बहुतायत से
5541,anthracite,एन्थ्रेसाइट
5542,blitzkrieg,बमवर्षा
5543,eventually varshakala,अंततः वर्षाकाल
5544,imperialis underclass nowrangpur,साम्राज्यवादी निम्न वर्ग नौरंगपुर
5545,pushydharo instrument,पुष्यधारो यंत्र
5546,mountainto,पर्वतारोहण
5547,premchands,प्रेमचंद
5548,chrysippus stronghold recharging,क्रिसिपस गढ़ रिचार्जिंग
5549,compliment hysterical,प्रशंसा उन्माद
5550,responding,जवाब
5551,clasthaved,क्लैस्टवेड
5552,immobilize accretions navneetham,स्थिर अभिवृद्धि नवनीथम
5553,commitment,प्रतिबद्धता
5554,implements incumbency,औजार पदग्राही
5555,somashekar,सोमशेखर
5556,prominence,शोहरत
5557,millowners transistor,मिल मालिक ट्रांजिस्टर
5558,somanpalli flowerbeds terriorist,सोमनपल्ली फूलों का बिस्तर आतंकवादी
5559,misfortune tiruprayar,दुर्भाग्य तिरुप्रयार
5560,twittering,चहचहाना
5561,fulfilment,पूर्ति
5562,periplanea emphasizes huntsville,पेरिप्लेनिया पर जोर देती है हंट्सविल
5563,penetrance downstream,अंतर्वेधन डाउनस्ट्रीम
5564,sharadbabu,शरदबाबू
5565,expansions,विस्तार
5566,evacuating,निकासी
5567,orchestras terrifying,आर्केस्ट्रा भयानक
5568,connective,संयोजी
5569,regressive allegation vanaprasta,प्रतिगामी आरोप वानप्रस्थ
5570,mahabharat production,महाभारत उत्पादन
5571,encounters,मुठभेड़ों
5572,attendants aksharmugh,परिचारक अक्षरमुघ
5573,kantharodh,कण्ठरोध
5574,proteinous,प्रोटीनयुक्त
5575,transistor,ट्रांजिस्टर
5576,misreading milestones,ग़लत व्याख्या मील के पत्थर
5577,shaktibaan,शक्तिबाण
5578,effulgence persistent inaccurate,प्रभा ज़िद्दी ग़लत
5579,mansarowar,मानसरोवर
5580,assumtions,धारणाएँ
5581,kapilvastu,कपिलवस्तु
5582,curveballs,कर्वबॉल
5583,criminally networking,आपराधिक नेटवर्किंग
5584,quitestiff,काफी कड़ा
5585,containers memorising,कंटेनरों याद रखना
5586,approaches,दृष्टिकोण
5587,taittiriya,तैत्रीय
5588,subsidised,रियायती
5589,anticipate,अंदाज़ा लगाना
5590,inhibitors dekhayache,अवरोधकों देखायचे
5591,sankranthi,संक्रांति
5592,phytotoxic,फाइटोटॉक्सिक
5593,latterwere prejudices instructed,बाद वाले थे पूर्वाग्रहों निर्देश दिए
5594,underneath satellites,नीचे उपग्रहों
5595,algorithms concussion,एल्गोरिदम हिलाना
5596,raghuwansh,रघुवंश
5597,cognisance,संज्ञान
5598,ragoowansi,रागूवांसी
5599,kashninath,काशीनाथ
5600,inoculates,टीका लगाता है
5601,accounting ichhaamati,लेखांकन इच्छामती
5602,contractor militiamen,ठेकेदार मिलिशियामेन
5603,alligators,घड़ियाल
5604,dispensing,डिस्पेंसिंग
5605,philosophy commentary,दर्शन टीका
5606,manipulate gigaparsec,चालाकी से काम निकालना गीगा-पारसेक
5607,wilderness,जंगल
5608,nandigrama,नंदीग्राम
5609,somersault publically,कलाबाज़ी सार्वजनिक रूप से
5610,liquidated inwarrence,नष्ट आक्रमण
5611,identifier petitioner,पहचानकर्ता याचिकाकर्ता
5612,strengthen retrieving,को मजबूत पुनः प्राप्त करना
5613,rajpramukh,राजप्रमुख
5614,defectives,दोष
5615,thalheimar,थल्हेइमर
5616,equalities,समानता
5617,guarantees suchindram,गारंटी सुचिन्द्रम
5618,strengthen,को मजबूत
5619,reflection,प्रतिबिंब
5620,pendentive kumbakarna,पेंडेंटिव कुंभकर्ण
5621,presidency nelasambhu,प्रेसीडेंसी नेलासंभु
5622,disbursing,संवितरण
5623,homecoming,घर वापसी
5624,bewildered,व्यग्र
5625,continuous confidance,निरंतर विश्वास
5626,churchgate,चर्चगेट
5627,benefiting,लाभ
5628,alienating,अलगाव की भावना
5629,moffussils,मोफ़ुसिल्स
5630,realistion geetimalya,अहसास गीतिमल्या
5631,dekhayache,देखायचे
5632,gobhakshan,गोभक्षण
5633,precidency vidyadhara,प्रधानता विद्याधर
5634,resolution,संकल्प
5635,successive,क्रमिक
5636,horizontal extraneous,क्षैतिज बाहरी
5637,harnessing hasitnapur camouflage,काम में लाने से हसितनापुर छलावरण
5638,habituated inevitable,आदी अनिवार्य
5639,shudrodhan,शूद्रोधन
5640,northwards,उत्तर की ओर
5641,diminutive disability,अल्पार्थक विकलांगता
5642,shatrughan,शत्रुघ्न
5643,dhnyanyoga,ध्यानयोग
5644,hoshiarpur,होशियारपुर
5645,vindictive,प्रतिशोधात्मक
5646,mesosphere,मीसोस्फीयर
5647,dependants dismissing,आश्रितों खारिज
5648,premchanda,प्रेमचंदा
5649,stroganoff,स्ट्रोगानौफ़
5650,yakshapuri,यक्षपुरी
5651,borderless subscribes,अनवधि सदस्याएं
5652,intervenes,हस्तक्षेप
5653,exposition,प्रदर्शनी
5654,chatterbox,गप्पी
5655,karmayogee,कर्मयोगी
5656,disgusting,घिनौना
5657,stereotype,टकसाली
5658,encircling,घेराबंदी
5659,miraculous,चमत्कारपूर्ण
5660,sudharshan,सुदर्शन
5661,procedural,ि यात्मक
5662,unsanitary,मैला
5663,advertised,विज्ञापित
5664,demolished,ध्वस्त
